Alpha	19	51	73	49	30	92	28	39	64	91
Beta	70	70	29	25	28	52	87	84	93	3
Gamma	85	59	30	77	45	46	21	47	28	28
Delta	83	59	63	31	39	12	68	12	19	32
Epsilon	39	100	87	49	58	53	53	12	86	11
Zeta	62	60	51	15	55	52	42	44	38	15
Eta	6	73	42	55	41	65	55	100	86	96
Theta	80	90	98	84	65	96	91	80	88	88
Iota	78	11	79	70	87	53	94	57	28	83
Kappa	92	95	24	76	19	67	31	49	62	5
Lambda	24	31	38	75	27	39	50	87	48	99
Mu	66	85	100	92	74	39	83	30	51	46
Nu	22	44	80	89	49	94	18	48	79	30
Xi	89	65	79	99	69	68	29	100	0	46
Omicron	70	39	5	73	43	71	65	77	97	41
Pi	79	95	84	78	62	37	91	58	32	15
Rho	27	10	74	35	25	14	68	69	73	75
Sigma	35	75	0	64	31	21	86	17	28	99
Tau	84	49	93	28	60	47	56	19	25	26
Upsilon	74	39	56	49	34	58	22	66	97	16
Phi	15	55	29	99	66	40	31	41	95	12
Chi	24	94	29	46	62	12	33	58	16	41
Psi	17	79	72	48	54	65	33	60	36	49
Omega	41	73	48	59	79	69	37	93	90	84
